Category: All categories

Week,covid 19: (United States)
2019-12-01,0
2019-12-08,0
2019-12-15,0
2019-12-22,0
2019-12-29,0
2020-01-05,0
2020-01-12,0
2020-01-19,0
2020-01-26,0
2020-02-02,0
2020-02-09,<1
2020-02-16,1
2020-02-23,3
2020-03-01,9
2020-03-08,36
2020-03-15,89
2020-03-22,100
2020-03-29,96
2020-04-05,78
2020-04-12,59
2020-04-19,52
2020-04-26,46
2020-05-03,41
2020-05-10,38
2020-05-17,33
2020-05-24,31
2020-05-31,24
2020-06-07,24
2020-06-14,28
2020-06-21,36
2020-06-28,40
2020-07-05,38
2020-07-12,36
2020-07-19,28
2020-07-26,25
2020-08-02,21
2020-08-09,19
2020-08-16,16
2020-08-23,14
2020-08-30,14
2020-09-06,13
2020-09-13,12
2020-09-20,12
2020-09-27,13
2020-10-04,13
2020-10-11,12
2020-10-18,13
2020-10-25,14
2020-11-01,10
2020-11-08,17
2020-11-15,20
2020-11-22,16
