Category: All categories

Week,toilet paper: (United States)
2019-11-24,2
2019-12-01,3
2019-12-08,3
2019-12-15,2
2019-12-22,2
2019-12-29,3
2020-01-05,3
2020-01-12,2
2020-01-19,3
2020-01-26,2
2020-02-02,2
2020-02-09,2
2020-02-16,2
2020-02-23,3
2020-03-01,7
2020-03-08,90
2020-03-15,100
2020-03-22,52
2020-03-29,39
2020-04-05,30
2020-04-12,18
2020-04-19,13
2020-04-26,10
2020-05-03,8
2020-05-10,7
2020-05-17,6
2020-05-24,5
2020-05-31,4
2020-06-07,4
2020-06-14,4
2020-06-21,3
2020-06-28,3
2020-07-05,3
2020-07-12,3
2020-07-19,3
2020-07-26,3
2020-08-02,3
2020-08-09,3
2020-08-16,3
2020-08-23,3
2020-08-30,3
2020-09-06,3
2020-09-13,3
2020-09-20,3
2020-09-27,3
2020-10-04,4
2020-10-11,3
2020-10-18,3
2020-10-25,3
2020-11-01,3
2020-11-08,4
2020-11-15,8
2020-11-22,9
